,ServiceName,id,Edition,Creation,Publication,Administration,Latency,Compliance,Throughput,Reliability,Availability,Documentation,Successability,Service Name,WSDL Address,Response Time,Best Practices
4,CRM2507,7578,1,4,3,3,5.5,89,15.9,80,72,8,72,Slash/SOAP/Test,http://use.perl.org/soap/Test.wsdl,316.5,87
5,CRM2506,7577,0,4,2,4,1.25,78,1.3,80,86,96,95,SailboatCalcsWS,http://pooh.poly.asu.edu/cst556-sailboatcalcsws/SailboatCalcsWS.asmx?wsdl,106.75,87
6,CRM2505,7576,4,3,1,1,3.72,78,2.1,67,80,60,80,interop2,http://www.cs.fsu.edu/~engelen/interop2.wsdl,93.93,82
7,CRM2504,7575,1,4,2,4,7.17,78,11.3,83,97,3,97,AWSAlexa,http://awis.amazonaws.com/AWSAlexa/AWSAlexa.wsdl,56.17,91
8,CRM2503,7574,1,3,3,0,7.4,100,2.4,73,93,41,98,garnierService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/garnier.wsdl,200.8,84
9,CRM2502,7573,2,2,4,0,2035,78,0.3,73,83,64,84,validateAddress_Service,http://addressmeister.bizware.com/service/wsdl/server.soap.wsdl,2555,88
10,CRM2501,7572,1,3,3,4,4.68,100,13.3,67,62,1,63,AWSECommerceService,http://webservices.amazon.com/AWSECommerceService/2005-10-05/AWSECommerceService.wsdl,58.21,77
11,CRM2500,7571,2,2,0,1,3.5,89,5,83,72,1,72,CountryService,http://user.cs.tu-berlin.de/%7Ekarima/org/src/xml/Country.wsdl,1845.5,91
12,CRM2499,7570,0,3,2,4,10.56,89,3.3,73,62,4,62,KBBEWebService,http://www.secretary.state.nc.us/KBBEWebService/KBBEWebService.asmx?wsdl,128.06,84
13,CRM2498,7569,4,1,1,3,38.12,100,9.5,53,87,86,95,XigniteRates,http://ws.strikeiron.com/Xignite/rates?WSDL,196.33,71
14,CRM2497,7568,3,0,0,1,4.36,50,3.8,78,28,62,28,Chemistry,http://soap.fmui.de/chemistry.wsdl,132.86,89
15,CRM2496,7567,1,4,1,4,76.33,89,4.6,73,63,38,64,IDEC_GeoServeis,http://www.geoportal-idec.net/gestor/webservices/idec_ws.wsdl,783,75
16,CRM2495,7566,2,2,3,3,5.58,78,8.3,60,17,10,18,AmazonSearchService,http://soap.amazon.fr/schemas3/AmazonWebServices.wsdl,70.23,79
17,CRM2494,7565,1,0,0,4,715.25,89,3,83,56,85,57,Authentication,http://arcweb.esri.com/services/v2/Authentication.wsdl,894.5,91
18,CRM2493,7564,1,4,1,1,14.4,78,17.6,50,91,35,97,IDV,http://rnsdemo.rnsolutions.com/dcis/wsdl/BusinessServices/DataCollection/contracts/1.2/IDV.wsdl,111.2,77
19,CRM2492,7563,4,4,3,1,10.6,78,24.8,73,92,9,97,SendCustomForm,http://www.realreports.info/Apps/WebService/SendCustomForm.asmx?WSDL,83,84
20,CRM2491,7562,4,2,2,0,10.87,100,21.9,73,90,6,97,OpcXmlDaSrv,http://tswinc.us/xmldademo/ts_sim/OpcDaGateway.asmx?wsdl,83.12,80
21,CRM2490,7561,1,0,3,0,37.35,78,2.4,73,62,11,63,SMS_Service,http://extra.vianett.no/webservices/vianett_sms_service/SMS_Service.asmx?wsdl,1818.64,84
22,CRM2489,7560,4,3,4,2,79.75,89,10.8,73,78,24,78,CustomerService,http://asyncpostback.com/CustomerService.asmx?WSDL,175.75,80
23,CRM2488,7559,4,1,0,0,2.4,100,10.4,73,34,92,34,ExperimentWebService,http://www.amdcc.org/Webservice/ExperimentWebService.asmx?wsdl,303.1,80
24,CRM2487,7558,0,2,3,0,7.4,100,0.8,73,85,31,95,digestService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/digest.wsdl,202.4,84
25,CRM2486,7557,4,0,4,3,4,100,12.6,67,24,65,25,TerraService,http://terraserver.microsoft.com/TerraService2.asmx?WSDL,112.81,77
26,CRM2485,7556,0,4,0,3,0.88,78,15.8,73,87,91,95,SmartPayments,http://www.tpisoft.com/smartpayments/transact.asmx?WSDL,124.38,84
27,CRM2484,7555,2,3,4,0,38.4,100,2.8,73,88,7,96,seealsoService,http://www.ebi.ac.uk/soaplab/emboss4/services/display.seealso.derived?wsdl,321.4,84
28,CRM2483,7554,2,1,2,0,7.71,89,3.1,53,43,59,44,scavenger_hunt,http://www.cosmeo.com/ws/homeScavengerHunt.cfc?wsdl,211,66
29,CRM2482,7553,0,3,0,4,1,78,13.7,67,87,39,95,CPP_SCORE_REQUEST,http://soap.cpp.com/CppSoapRequests/CPPScoreRequest.asmx?wsdl,98,77
30,CRM2481,7552,1,3,0,3,1,67,13.2,73,83,36,84,SortNumbers,http://www.calstatela.edu/faculty/jmiller6/cs454-winter2003/notes/sort.wsdl,89,80
31,CRM2480,7551,3,2,1,4,24,100,1.3,60,96,10,99,ZacksSummary,http://ws.strikeiron.com/ZacksSummary?WSDL,113.5,79
32,CRM2479,7550,4,0,1,2,27.5,100,2.3,60,97,77,99,ResidentialLookup,http://ws.strikeiron.com/ResidentialLookup?WSDL,131,74
33,CRM2478,7549,2,0,4,0,30,89,3.8,33,27,29,28,DocumentManager,http://isb.oio.dk/oioservice/service/public/3/restricted/repositorymanager.asmx?WSDL,513.5,59
34,CRM2477,7548,4,3,2,0,23,100,3.5,60,91,3,97,IndianAddressVerification,http://ws.strikeiron.com/IndianAddressVerification?WSDL,105.67,74
35,CRM2476,7547,0,4,3,4,8.4,78,24.7,73,89,6,96,SendCustomForm,http://www.etruria-properties.com/Apps/WebService/SendCustomForm.asmx?WSDL,86.4,84
36,CRM2475,7546,4,0,0,4,5.4,100,1.9,58,90,41,97,bananaService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/banana.wsdl,194.6,75
37,CRM2474,7545,3,1,4,4,1.8,78,3.1,78,91,9,97,ECPAMT,http://202.75.163.45:2503/ECPAWSDL/ECPAMT.WSDL,790.2,89
38,CRM2473,7544,2,4,2,0,38.2,100,2.4,73,99,9,100,showdbService,http://www.ebi.ac.uk/soaplab/emboss4/services/display.showdb.derived?wsdl,330.2,84
39,CRM2472,7543,2,3,3,0,81.5,89,9.6,73,78,37,78,InstantOrder,http://www.onecone.com/WebServices/instantorder.asmx?wsdl,200,80
40,CRM2471,7542,2,3,1,3,3.29,89,10.6,60,14,90,15,ODWS,http://solveit4odos.brinkster.net/odws/odws.asmx?WSDL,101.84,69
41,CRM2470,7541,4,4,4,4,39.88,100,9,67,99,65,100,TerraService,http://www.terraservice.net/terraservice.asmx?wsdl,269.38,72
42,CRM2469,7540,0,0,1,4,46.5,67,9.7,67,67,7,67,RenderServer3D,http://ws.xara.com/graphicrender/render3d.wsdl,182.25,85
43,CRM2468,7539,2,1,3,0,12.75,78,4.1,67,56,11,57,SeqnaviSoapApiService,http://pdbjs3.protein.osaka-u.ac.jp/seqnavi/soap/seqnavi.wsdl,259,72
44,CRM2467,7538,1,3,4,3,23.5,78,8.4,73,92,88,97,DensityMap,http://skyservice.pha.jhu.edu/devel/DensityMap/DensityMap.asmx?wsdl,74.5,80
45,CRM2466,7537,0,3,0,2,2,78,12.5,67,91,8,97,BasicAddressMatch,http://www.bgtaddresstools.beta.state.pa.us/BasicAddressMatch/BasicAddressMatch.asmx?wsdl,84,82
46,CRM2465,7536,2,0,4,1,6,100,15.6,73,85,34,95,emowseService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/emowse.wsdl,222.6,84
47,CRM2464,7535,4,1,1,4,331.88,89,5.1,80,39,62,40,TCrossPlatformSoapService,http://www.ebob42.com/cgi-bin/CrossPlatformSoapService.asmx?wsdl,461.5,83
48,CRM2463,7534,3,3,3,4,6.5,100,7.3,58,85,5,95,TWS-DR,http://www.trustedwebservices.org/trustedx/downloads/SignatureVerify.wsdl,1084.5,57
49,CRM2462,7533,1,4,0,4,1.5,78,1.8,67,85,34,95,DataGeneration,http://www.strikeiron.com/WebServices/datageneration.asmx?WSDL,49.5,72
50,CRM2461,7532,3,2,0,4,7.67,78,1.9,73,88,57,89,PlaceFinder,http://www.arcwebservices.com/services/v2006/PlaceFinder.wsdl,184.67,75
51,CRM2460,7531,0,0,2,2,119.83,89,6.5,83,92,7,97,EbiService,http://staff.vbi.vt.edu/pathport/services/wsdls/ebi.wsdl,176.33,91
52,CRM2459,7530,3,0,0,4,14.75,100,8.2,73,94,87,98,LogServices,http://www.eqsl.cc/WebServices/LogServices.asmx?wsdl,109.5,84
53,CRM2458,7529,4,2,0,4,4.5,89,9.4,80,78,89,78,BBWS,http://www.borgerblanketter.dk/BBWS/BBWS.asmx?WSDL,149.75,87
54,CRM2457,7528,3,1,1,2,30,100,2.8,60,87,5,95,CanadaAddressVerification,http://ws.strikeiron.com/CanadaAddressVerification?WSDL,116,74
55,CRM2456,7527,4,4,0,1,24,78,5.9,67,93,3,98,GetBestMapDefinitionService,http://www.viamichelin.com/ws/services/GetBestMapDefinition?wsdl,146,72
56,CRM2455,7526,1,3,0,4,22,89,6.1,67,25,31,26,sdm25,http://www.se-services.nl/lib/sdm25/sdm25.php?wsdl,225.87,72
57,CRM2454,7525,2,3,4,1,54.28,78,13.1,73,94,2,94,SkyNodeWS,http://skyservice.pha.jhu.edu/SkyNode/PSCz/SkyNodeWS.asmx?WSDL,140.64,62
58,CRM2453,7524,3,1,0,0,10.6,100,12.6,73,96,39,99,waterService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/water.wsdl,309.2,84
59,CRM2452,7523,3,2,3,0,254.5,100,1,60,98,11,98,eBayAPIInterfaceService,http://developer.ebay.com/webservices/427/ebaySvc.wsdl,770.6,72
60,CRM2451,7522,1,2,3,4,27.61,100,12.6,53,89,88,96,Exchanges,http://ws.strikeiron.com/Exchanges?WSDL,207.69,71
61,CRM2450,7521,4,4,2,1,16.94,78,8.1,60,90,10,97,ForecastServiceImplService,http://websky.kma.go.kr/services/ForecastService?wsdl,287,69
62,CRM2449,7520,1,0,4,0,43.71,89,5,67,16,93,16,Service,http://rsdn.ru/ws/service.asmx?wsdl,503,72
